Date,Open,High,Low,Close,Adj Close,Volume
2022-05-23,0.086084,0.088110,0.082858,0.083253,0.083253,507385171
2022-05-24,0.083267,0.084317,0.080811,0.083637,0.083637,462415724
2022-05-25,0.083628,0.084338,0.082319,0.082985,0.082985,419834752
2022-05-26,0.082994,0.083600,0.076065,0.078252,0.078252,711890873
2022-05-27,0.078211,0.085384,0.076582,0.081335,0.081335,1310057650
2022-05-28,0.082248,0.083048,0.081151,0.081839,0.081839,535539620
2022-05-29,0.081838,0.083034,0.080299,0.082686,0.082686,394962471
2022-05-30,0.082684,0.088275,0.082269,0.087871,0.087871,690696756
2022-05-31,0.087865,0.088230,0.083612,0.085865,0.085865,672444588
2022-06-01,0.085855,0.088647,0.079807,0.081056,0.081056,830748610
2022-06-02,0.081052,0.083007,0.080417,0.082772,0.082772,434510607
2022-06-03,0.082777,0.082857,0.079756,0.080442,0.080442,403339248
2022-06-04,0.080454,0.082337,0.079727,0.081777,0.081777,350329772
2022-06-05,0.081776,0.082138,0.080836,0.081229,0.081229,282624184
2022-06-06,0.081225,0.084559,0.081126,0.082530,0.082530,503707292
2022-06-07,0.082530,0.082530,0.078332,0.080513,0.080513,509642725
2022-06-08,0.080492,0.081420,0.079156,0.079439,0.079439,328046389
2022-06-09,0.079436,0.080898,0.079082,0.079336,0.079336,274673852
2022-06-10,0.079335,0.079521,0.074804,0.075454,0.075454,431520761
2022-06-11,0.075472,0.076399,0.068596,0.069895,0.069895,497184012
2022-06-12,0.069919,0.070345,0.063861,0.064336,0.064336,708156957
2022-06-13,0.064275,0.065702,0.053002,0.053921,0.053921,1465281537
2022-06-14,0.053941,0.058154,0.050267,0.055592,0.055592,908921329
2022-06-15,0.055577,0.063472,0.050670,0.063000,0.063000,1122284662
2022-06-16,0.062977,0.062977,0.054508,0.055029,0.055029,724479688
2022-06-17,0.055047,0.057911,0.054898,0.056995,0.056995,383830484
2022-06-18,0.056979,0.057755,0.049720,0.053012,0.053012,652345943
2022-06-19,0.053007,0.062472,0.051308,0.060396,0.060396,1166163984
2022-06-20,0.060399,0.061157,0.057707,0.060177,0.060177,499018791
2022-06-21,0.060175,0.069324,0.059315,0.065571,0.065571,1051899538
2022-06-22,0.065606,0.065751,0.061389,0.061711,0.061711,633619298
2022-06-23,0.061703,0.064615,0.061703,0.064032,0.064032,434169751
2022-06-24,0.064019,0.068162,0.064004,0.067124,0.067124,514729444
2022-06-25,0.067110,0.069112,0.065384,0.068503,0.068503,432671864
2022-06-26,0.068488,0.076966,0.067504,0.073177,0.073177,883689355
2022-06-27,0.073154,0.078389,0.071018,0.072239,0.072239,962250061
2022-06-28,0.072221,0.072951,0.065723,0.065957,0.065957,534793983
2022-06-29,0.065996,0.071335,0.064635,0.069468,0.069468,592828738
2022-06-30,0.069481,0.069513,0.062746,0.066086,0.066086,566648029
2022-07-01,0.066208,0.067862,0.064224,0.066175,0.066175,472441458
2022-07-02,0.066205,0.067692,0.065933,0.066698,0.066698,352589827
2022-07-03,0.066698,0.067356,0.065111,0.067179,0.067179,280878240
2022-07-04,0.067174,0.069605,0.065927,0.069472,0.069472,379581122
2022-07-05,0.069431,0.069841,0.065697,0.067155,0.067155,403220687
2022-07-06,0.067172,0.069058,0.066448,0.068583,0.068583,398926503
2022-07-07,0.068579,0.071124,0.068053,0.070621,0.070621,402591742
2022-07-08,0.070618,0.073009,0.068541,0.069257,0.069257,444369733
2022-07-09,0.069224,0.070009,0.068995,0.069512,0.069512,254272147
2022-07-10,0.069509,0.069509,0.066533,0.067263,0.067263,299810124
